column,decision,reason,step
cancellationFee_name,KEEP,passed all audit steps,-
cancellationFee_description,DROPPED,manual: free-text / opaque ID (§ 3.5),3.5
cancellationFee_dueDateTime,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
cancellationFee_fee_amount,DROPPED,manual: numeric multicollinearity (§ 3.6),3.6
cancellationFee_fee_currency,DROPPED,manual: near-constant (§ 3.4),3.4
noShowFee_id,DROPPED,manual: categorical multicollinearity (§ 3.7),3.7
noShowFee_code,DROPPED,manual: near-constant (§ 3.4),3.4
noShowFee_name,DROPPED,manual: near-constant (§ 3.4),3.4
noShowFee_description,DROPPED,manual: free-text / opaque ID (§ 3.5),3.5
noShowFee_fee_amount,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
noShowFee_fee_currency,DROPPED,manual: near-constant (§ 3.4),3.4
balance_amount,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
balance_currency,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
company_id,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
company_code,DROPPED,100% missing,3.1
company_name,DROPPED,100% missing,3.1
company_canCheckOutOnAr,DROPPED,100% missing,3.1
corporateCode,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
promoCode,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
commission_amount,DROPPED,100% missing,3.1
commission_currency,DROPPED,100% missing,3.1
commission_before_amount,DROPPED,100% missing,3.1
commission_before_currency,DROPPED,100% missing,3.1
allFoliosHaveInvoice,DROPPED,leakage (post-event signal),3.2
hasCityTax,DROPPED,manual: categorical multicollinearity (§ 3.7),3.7
booker_company_name,DROPPED,subsumed by engineered feature (§3.0.j),3.0.j
arrival,KEEP,passed all audit steps,-
departure,DROPPED,redundant after los_nights (§4.3),4.3
created,KEEP,passed all audit steps,-
modified,DROPPED,leakage (post-event signal),3.2
cancellationTime,DROPPED,leakage (post-event signal),3.2
guest_id,DROPPED,leakage (post-event signal),3.2
is_first_res,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
is_last_res,DROPPED,manual: data-quality issue (§ 3.0.5),3.0.5
adults_n,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
arrival_dow,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
arrival_month,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
cancel_days_before_arrival,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
diff_gross_cancellation_fee,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
diff_gross_cancellation_fee_log,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
gross_amount,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
gross_per_night,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
gross_per_night_log,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
has_children,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
has_corporate_code,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
has_group,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
has_promo,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
is_canceled_by_arrival,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
is_weekend_arrival,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
lead_time_days,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
lead_time_days_log,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
log_gross_amount,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
los_nights,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
los_nights_log,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
outcome_known_date,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
ratePlan_category,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
stay_bucket,ENGINEERED,built in §3.0/§5/§7,3.0/5/7
company_name_combined,ENGINEERED -> DROPPED,engineered then dropped (see §3.7),3.0/3.7
guest_country_region,ENGINEERED -> DROPPED,leakage (post-event signal),3.2
is_international,ENGINEERED -> DROPPED,leakage (post-event signal),3.2
is_nonref,ENGINEERED -> DROPPED,manual: categorical multicollinearity (§ 3.7),3.7
ratePlan_type,ENGINEERED -> DROPPED,manual: categorical multicollinearity (§ 3.7),3.7
